f,Re,Im,Z,phi,Fit,f,Re,Im,Z,phi
1.00E+05,4.69E+01,-3.56E+00,47.0104148051812,-4.34275974253689,,1.00E+05,4.76E+01,-1.84E-01,47.5640159118509,-0.22165127538382
8.30E+04,4.65E+01,-3.04E+00,46.594896922985,-3.7350767671945,,8.30E+04,4.76E+01,-2.22E-01,47.5643463619024,-0.266977535410823
6.89E+04,4.64E+01,-2.75E+00,46.5093812696727,-3.39562452031226,,6.89E+04,4.76E+01,-2.67E-01,47.564829141062,-0.321571386178903
5.72E+04,4.63E+01,-2.49E+00,46.3802940806707,-3.08190394275004,,5.72E+04,4.76E+01,-3.22E-01,47.5655368513188,-0.38732692766065
4.75E+04,4.63E+01,-2.36E+00,46.3722949717982,-2.91139780807991,,4.75E+04,4.76E+01,-3.87E-01,47.5665667765989,-0.46652334033875
3.94E+04,4.63E+01,-2.25E+00,46.3498991516812,-2.78219761371859,,3.94E+04,4.76E+01,-4.66E-01,47.5680475287204,-0.561908177316429
3.27E+04,4.66E+01,-2.18E+00,46.6143119507206,-2.68178370597869,,3.27E+04,4.76E+01,-5.62E-01,47.5701985625843,-0.676780825684777
2.72E+04,4.65E+01,-2.17E+00,46.5440601719336,-2.6767238019882,,2.72E+04,4.76E+01,-6.77E-01,47.5733241903253,-0.815119978881641
2.26E+04,4.65E+01,-2.31E+00,46.6023990712772,-2.83875040243706,,2.26E+04,4.76E+01,-8.15E-01,47.5778534884508,-0.981696170122385
1.87E+04,4.67E+01,-2.43E+00,46.7711794837803,-2.97608387649965,,1.87E+04,4.76E+01,-9.82E-01,47.5844196844894,-1.182255307426
1.56E+04,4.68E+01,-2.63E+00,46.8409462456948,-3.21493786315907,,1.56E+04,4.76E+01,-1.18E+00,47.5939517032684,-1.42367008946586
1.29E+04,4.69E+01,-2.91E+00,46.9449665664306,-3.55162307323593,,1.29E+04,4.76E+01,-1.42E+00,47.6077753451871,-1.71419229297703
1.07E+04,4.70E+01,-3.22E+00,47.1525167171196,-3.92020031413529,,1.07E+04,4.76E+01,-1.72E+00,47.6278095745622,-2.06365517671033
8.90E+03,4.72E+01,-3.66E+00,47.3675895606383,-4.42665919072493,,8.90E+03,4.76E+01,-2.07E+00,47.656842841761,-2.48380044255563
7.39E+03,4.74E+01,-4.13E+00,47.6186744957119,-4.97873967211767,,7.39E+03,4.76E+01,-2.49E+00,47.6989066673189,-2.98843495109035
6.14E+03,4.77E+01,-4.72E+00,47.9241768504581,-5.64681954661633,,6.14E+03,4.77E+01,-2.99E+00,47.7597800135253,-3.59382650564571
5.09E+03,4.80E+01,-5.36E+00,48.2695861136335,-6.37637141564714,,5.09E+03,4.77E+01,-3.60E+00,47.8477922257848,-4.31876154008438
4.23E+03,4.84E+01,-6.11E+00,48.7429051270881,-7.19977218433708,,4.23E+03,4.78E+01,-4.34E+00,47.9748619451655,-5.18451837525022
3.51E+03,4.88E+01,-6.97E+00,49.3012361306434,-8.12881766215848,,3.51E+03,4.79E+01,-5.21E+00,48.1579020186982,-6.21469147933221
2.92E+03,4.93E+01,-7.95E+00,49.9284893940139,-9.16136253291835,,2.92E+03,4.80E+01,-6.26E+00,48.420783248412,-7.43396246014512
2.42E+03,4.98E+01,-9.06E+00,50.6601912286656,-10.3046964151983,,2.42E+03,4.82E+01,-7.52E+00,48.7966258176809,-8.8660019719725
2.01E+03,5.05E+01,-1.03E+01,51.5614282229192,-11.5032242923744,,2.01E+03,4.85E+01,-9.02E+00,49.3306059401501,-10.5299243191403
1.67E+03,5.13E+01,-1.18E+01,52.5976417785711,-12.9203378518947,,1.67E+03,4.89E+01,-1.08E+01,50.0826248580843,-12.4344401219175
1.38E+03,5.21E+01,-1.34E+01,53.8153036717261,-14.3737266782333,,1.38E+03,4.95E+01,-1.29E+01,51.129020067052,-14.5698028766225
1.15E+03,5.31E+01,-1.52E+01,55.2439219230689,-15.9780380704645,,1.15E+03,5.03E+01,-1.53E+01,52.5613502986748,-16.8981916345035
9.55E+02,5.43E+01,-1.73E+01,56.9513154858916,-17.6701139894233,,9.55E+02,5.14E+01,-1.80E+01,54.4802586037566,-19.3461331380936
7.92E+02,5.55E+01,-1.97E+01,58.8795256338151,-19.5149953035045,,7.92E+02,5.29E+01,-2.12E+01,56.9813294749157,-21.8032316188548
6.58E+02,5.70E+01,-2.23E+01,61.23751114223,-21.3799772576216,,6.58E+02,5.49E+01,-2.46E+01,60.1336248255067,-24.1348765563992
5.46E+02,5.88E+01,-2.55E+01,64.0433862665687,-23.4409326688567,,5.46E+02,5.74E+01,-2.82E+01,63.9536740615244,-26.2095765857434
4.53E+02,6.07E+01,-2.91E+01,67.2506128805991,-25.5967840115299,,4.53E+02,6.04E+01,-3.20E+01,68.3883128746499,-27.937475162923
3.76E+02,6.30E+01,-3.30E+01,71.1580626097274,-27.671931708004,,3.76E+02,6.39E+01,-3.59E+01,73.3192150891893,-29.3031456807199
3.13E+02,6.57E+01,-3.76E+01,75.7290460344584,-29.7557144058773,,3.13E+02,6.78E+01,-3.97E+01,78.600186322594,-30.3769911911318
2.60E+02,6.89E+01,-4.27E+01,81.0726214967214,-31.7957709104492,,2.60E+02,7.19E+01,-4.37E+01,84.1209174992249,-31.2967627753033
2.15E+02,7.28E+01,-4.84E+01,87.4295324439325,-33.5818360014902,,2.15E+02,7.60E+01,-4.79E+01,89.8742337770487,-32.2249775256937
1.79E+02,7.75E+01,-5.49E+01,94.9433196418883,-35.3299561553521,,1.79E+02,8.02E+01,-5.27E+01,95.9989696015473,-33.2984251517407
1.48E+02,8.27E+01,-6.20E+01,103.371735121272,-36.8345368323489,,1.48E+02,8.46E+01,-5.83E+01,102.785945694411,-34.586028369707
1.23E+02,8.86E+01,-6.98E+01,112.756875900609,-38.220158511426,,1.23E+02,8.94E+01,-6.51E+01,110.649487429877,-36.0653512767564
1.02E+02,9.68E+01,-7.81E+01,124.421664150941,-38.8960698714415,,1.02E+02,9.51E+01,-7.33E+01,120.072759140292,-37.6207388503789
8.50E+01,1.06E+02,-8.73E+01,137.466641562115,-39.4311948811583,,8.50E+01,1.02E+02,-8.29E+01,131.542474856928,-39.0639435258652
7.05E+01,1.18E+02,-9.66E+01,152.182891793308,-39.39153984698,,7.05E+01,1.11E+02,-9.38E+01,145.463306927652,-40.1705479563619
5.86E+01,1.31E+02,-1.06E+02,168.209929731565,-38.9477549420221,,5.86E+01,1.23E+02,-1.06E+02,162.07398577554,-40.7256449231559
4.86E+01,1.47E+02,-1.14E+02,185.832918078202,-37.9519431501673,,4.86E+01,1.38E+02,-1.18E+02,181.351048046737,-40.5642642662607
4.04E+01,1.64E+02,-1.22E+02,204.027785144687,-36.5650731005745,,4.04E+01,1.56E+02,-1.29E+02,202.918844167933,-39.6006786890928
3.35E+01,1.84E+02,-1.28E+02,224.462277137755,-34.8386276677382,,3.35E+01,1.79E+02,-1.39E+02,226.040134635644,-37.8405615000237
2.78E+01,2.06E+02,-1.30E+02,243.583000792139,-32.27436233149,,2.78E+01,2.04E+02,-1.45E+02,249.627409749911,-35.3805865892106
